id,publication_date,title
10.1371/journal.pone.0103586,2014-07-28,Objective Analyses of Tessellated Fundi and Significant Correlation between Degree of Tessellation and Choroidal Thickness in Healthy Eyes
10.1371/journal.pone.0086708,2014-01-29,The Personal Human Oral Microbiome Obscures the Effects of Treatment on Periodontal Disease
10.1371/journal.pone.0102801,2014-07-18,Spreading Information in a Network of Interacting Neighbours
10.1371/journal.pone.0098429,2014-05-21,Separation from the Dam Causes Negative Judgement Bias in Dairy Calves
10.1371/journal.pone.0106628,2014-09-26,A Window of Opportunity to Control the Bacterial Pathogen Pseudomonas aeruginosa Combining Antibiotics and Phages
10.1371/journal.pone.0106689,2014-09-04,Illumina TruSeq Synthetic Long-Reads Empower De Novo Assembly and Resolve Complex, Highly-Repetitive Transposable Elements
10.1371/journal.pone.0107214,2014-09-10,Potential Future Impact of a Partially Effective HIV Vaccine in a Southern African Setting
10.1371/journal.pone.0105625,2014-08-22,Transforaminal Decompression and Interbody Fusion in the Treatment of Thoracolumbar Fracture and Dislocation with Spinal Cord Injury
10.1371/journal.pbio.1001563,2013-05-14,The Case for Open Preprints in Biology
10.1371/journal.pone.0091476,2014-03-10,Selectivity and Potency of Microcystin Congeners against OATP1B1 and OATP1B3 Expressing Cancer Cells
10.1371/journal.pone.0104859,2014-08-12,The Association between Race and Crohn's Disease Phenotype in the Western Cape Population of South Africa, Defined by the Montreal Classification System
10.1371/journal.pone.0108437,2014-09-30,Effects of Virtual Speaker Density and Room Reverberation on Spatiotemporal Thresholds of Audio-Visual Motion Coherence
10.1371/journal.pone.0105143,2014-08-15,Oligosaccharide Substrate Preferences of Human Extracellular Sulfatase Sulf2 Using Liquid Chromatography-Mass Spectrometry Based Glycomics Approaches
10.1371/journal.pone.0105856,2014-08-29,The Expression of Pre- and Postcopulatory Sexually Selected Traits Reflects Levels of Dietary Stress in Guppies
10.1371/journal.pone.0069741,2013-07-22,Morphological and Genetic Evidence for Multiple Evolutionary Distinct Lineages in the Endangered and Commercially Exploited Red Lined Torpedo Barbs Endemic to the Western Ghats of India
10.1371/journal.pone.0085448,2014-01-29,Integrated Genomic and Epigenomic Analysis of Breast Cancer Brain Metastasis
10.1371/journal.pone.0106086,2014-08-25,Astrophysicists’ Conversational Connections on Twitter
10.1371/journal.pone.0105897,2014-08-26,Inter-Subject Variability in Human Atrial Action Potential in Sinus Rhythm versus Chronic Atrial Fibrillation
10.1371/journal.pone.0100134,2014-06-25,Direct Reprogramming of Human Fibroblasts to Hepatocyte-Like Cells by Synthetic Modified mRNAs
10.1371/journal.pone.0104807,2014-08-13,Modulation of Short-Latency Afferent Inhibition Depends on Digit and Task-Relevance
10.1371/journal.pone.0099389,2014-06-10,Trophic Scaling and Occupancy Analysis Reveals a Lion Population Limited by Top-Down Anthropogenic Pressure in the Limpopo National Park, Mozambique
10.1371/journal.pone.0104180,2014-08-05,Selective Control of Attention Supports the Positivity Effect in Aging
10.1371/journal.pone.0078168,2013-10-29,The Pupillary Light Response Reveals the Focus of Covert Visual Attention
10.1371/journal.pone.0101271,2014-07-25,These Are Not the K-mers You Are Looking For: Efficient Online K-mer Counting Using a Probabilistic Data Structure
10.1371/journal.pone.0103722,2014-08-06,Potential Effects of Hydroelectric Dam Development in the Mekong River Basin on the Migration of Siamese Mud Carp (Henicorhynchus siamensis and H. lobatus) Elucidated by Otolith Microchemistry
10.1371/journal.pone.0089949,2014-02-28,Rodent Scope: A User-Configurable Digital Wireless Telemetry System for Freely Behaving Animals
10.1371/journal.pone.0107613,2014-09-15,Antitumor Effect of the Tyrosine Kinase Inhibitor Nilotinib on Gastrointestinal Stromal Tumor (GIST) and Imatinib-Resistant GIST Cells
10.1371/journal.pone.0092462,2014-03-19,Soaring Migratory Birds Avoid Wind Farm in the Isthmus of Tehuantepec, Southern Mexico
10.1371/journal.pone.0106090,2014-09-05,A Multiresolution Approach to Discrete Tomography Using DART
10.1371/journal.pone.0095572,2014-05-05,Disgust and the Politics of Sex: Exposure to a Disgusting Odorant Increases Politically Conservative Views on Sex and Decreases Support for Gay Marriage
10.1371/journal.pone.0104585,2014-08-12,Does the Majority Always Know Best? Young Children's Flexible Trust in Majority Opinion
10.1371/journal.pone.0108794,2014-09-30,The Effects of Orally Administered Beta-Glucan on Innate Immune Responses in Humans, a Randomized Open-Label Intervention Pilot-Study
10.1371/journal.pone.0099344,2014-06-05,DTI Analysis in Patients with Primary Open-Angle Glaucoma: Impact of Registration on Voxel-Wise Statistics
10.1371/journal.pone.0103943,2014-07-31,Fingerprinting of Psychoactive Drugs in Zebrafish Anxiety-Like Behaviors
10.1371/journal.pone.0104543,2014-09-16,Non-Invasive Drosophila ECG Recording by Using Eutectic Gallium-Indium Alloy Electrode: A Feasible Tool for Future Research on the Molecular Mechanisms Involved in Cardiac Arrhythmia
10.1371/journal.pcbi.1003381,2013-12-05,Extrapolating Weak Selection in Evolutionary Games
10.1371/journal.pone.0105446,2014-08-25,Genome Sequence Analysis of In Vitro and In Vivo Phenotypes of Bunyamwera and Ngari Virus Isolates from Northern Kenya
10.1371/journal.pcbi.1003510,2014-04-10,A Quick Guide to Genomics and Bioinformatics Training for Clinical and Public Audiences
10.1371/journal.pone.0108316,2014-09-22,Frequency Selectivity in Pulse Responses of Pt/Poly(3-Hexylthiophene-2,5-Diyl)/Polyethylene Oxide + Li+/Pt Hetero-Junction
10.1371/journal.pone.0108308,2014-09-25,You Seem Certain but You Were Wrong Before: Developmental Change in Preschoolers’ Relative Trust in Accurate versus Confident Speakers
10.1371/journal.pone.0107884,2014-09-30,Uncovering Community Structures with Initialized Bayesian Nonnegative Matrix Factorization
10.1371/journal.pone.0107384,2014-09-22,Variation in Virus Symptom Development and Root Architecture Attributes at the Onset of Storage Root Initiation in ‘Beauregard’ Sweetpotato Plants Grown with or without Nitrogen
10.1371/journal.pone.0107529,2014-09-10,The Selective Allure of Neuroscientific Explanations
10.1371/journal.pone.0107130,2014-09-11,The Mediating Effects of Burnout on the Relationship between Anxiety Symptoms and Occupational Stress among Community Healthcare Workers in China: A Cross-Sectional Study
10.1371/journal.pone.0089184,2014-02-25,Comparing Distributions of Color Words: Pitfalls and Metric Choices
10.1371/journal.pone.0106698,2014-09-24,Higher Media Multi-Tasking Activity Is Associated with Smaller Gray-Matter Density in the Anterior Cingulate Cortex
10.1371/journal.pone.0104586,2014-08-15,Graph-Based Inter-Subject Pattern Analysis of fMRI Data
10.1371/journal.pone.0068337,2013-06-28,Improving Transferability of Introduced Species’ Distribution Models: New Tools to Forecast the Spread of a Highly Invasive Seaweed
10.1371/journal.pone.0109241,2014-10-01,Acoustic Divergence with Gene Flow in a Lekking Hummingbird with Complex Songs
10.1371/journal.pone.0083242,2013-12-23,Understanding Evolutionary Potential in Virtual CPU Instruction Set Architectures
10.1371/journal.pone.0096814,2014-06-02,Advancing Bag-of-Visual-Words Representations for Lesion Classification in Retinal Images
10.1371/journal.pone.0100648,2014-06-25,Drosophila FoxP Mutants Are Deficient in Operant Self-Learning
10.1371/journal.pone.0108329,2014-09-30,Diagnostic Value of a Rec-ELISA Using Toxoplasma gondii Recombinant SporoSAG, BAG1, and GRA1 Proteins in Murine Models Infected Orally with Tissue Cysts and Oocysts
10.1371/journal.pone.0106058,2014-09-10,Early Spring, Severe Frost Events, and Drought Induce Rapid Carbon Loss in High Elevation Meadows
10.1371/journal.pone.0092580,2014-03-19,Rapid Strategy for Screening by Pyrosequencing of Influenza Virus Reassortants - Candidates for Live Attenuated Vaccines
10.1371/journal.pone.0106111,2014-09-25,Neuroticism Associated with Cocaine-Induced Psychosis in Cocaine-Dependent Patients: A Cross-Sectional Observational Study
10.1371/journal.pone.0091079,2014-03-20,IgA Nephropathy Caused by Unusual Polymerization of IgA1 with Aberrant N-Glycosylation in a Patient with Monoclonal Immunoglobulin Deposition Disease
10.1371/journal.pone.0086246,2014-01-22,Effects of Elevated CO2 on Litter Chemistry and Subsequent Invertebrate Detritivore Feeding Responses
10.1371/journal.pone.0104443,2014-08-06,Aniracetam Does Not Alter Cognitive and Affective Behavior in Adult C57BL/6J Mice
10.1371/journal.pone.0104217,2014-08-05,Precipitation Regime Shift Enhanced the Rain Pulse Effect on Soil Respiration in a Semi-Arid Steppe
10.1371/journal.pone.0100444,2014-06-30,Disgust Sensitivity Is Not Associated with Health in a Rural Bangladeshi Sample
10.1371/journal.pone.0108111,2014-09-25,Red - Take a Closer Look
10.1371/journal.pone.0099039,2014-06-06,Power and Fairness in a Generalized Ultimatum Game
10.1371/journal.pone.0074196,2013-09-17,Development of Genomic Resources for a thraustochytrid Pathogen and Investigation of Temperature Influences on Gene Expression
10.1371/journal.pone.0105472,2014-08-15,Effects of Cattle Management on Oak Regeneration in Northern Californian Mediterranean Oak Woodlands
10.1371/journal.pone.0105511,2014-08-21,Establishment of a Rat Model of Portal Vein Ligation Combined with In Situ Splitting
10.1371/journal.pone.0105683,2014-09-02,Glucagon-Like Peptide-1 Receptor Ligand Interactions: Structural Cross Talk between Ligands and the Extracellular Domain
10.1371/journal.pone.0105408,2014-08-20,Linear Population Allocation by Bistable Switches in Response to Transient Stimulation
10.1371/journal.pone.0108335,2014-09-30,Glioma: Application of Whole-Tumor Texture Analysis of Diffusion-Weighted Imaging for the Evaluation of Tumor Heterogeneity
10.1371/journal.pone.0107999,2014-09-19,Comparison of Methods to Reduce Myocardial 18F-FDG Uptake in Mice: Calcium Channel Blockers versus High-Fat Diets
10.1371/journal.pone.0107806,2014-09-16,Aphid Honeydew Quality as a Food Source for Parasitoids Is Maintained in Bt Cotton
10.1371/journal.pone.0105176,2014-08-20,Functional Connectivity in the First Year of Life in Infants at Risk for Autism Spectrum Disorder: An EEG Study
10.1371/journal.pcbi.1003234,2013-10-03,ToPS: A Framework to Manipulate Probabilistic Models of Sequence Data
10.1371/journal.pone.0098401,2014-05-22,Effects of Lactobacillus paracasei CNCM I-4034, Bifidobacterium breve CNCM I-4035 and Lactobacillus rhamnosus CNCM I-4036 on Hepatic Steatosis in Zucker Rats
10.1371/journal.pone.0098412,2014-06-02,Baltorussus Total Makeover: Rejuvenation and Sex Change in an Ancient Parasitoid Wasp Lineage
10.1371/journal.pone.0102864,2014-07-30,Discrimination Contours for Moving Sounds Reveal Duration and Distance Cues Dominate Auditory Speed Perception
10.1371/journal.pone.0106835,2014-09-11,In Vitro Surfactant and Perfluorocarbon Aerosol Deposition in a Neonatal Physical Model of the Upper Conducting Airways
10.1371/journal.pone.0102241,2014-07-14,Long-Term Health Effects of Neutering Dogs: Comparison of Labrador Retrievers with Golden Retrievers
10.1371/journal.pone.0106666,2014-09-05,Characterization of Indoor Extremely Low Frequency and Low Frequency Electromagnetic Fields in the INMA-Granada Cohort
10.1371/journal.pone.0088482,2014-02-07,Effect of Seated Trunk Posture on Eye Blink Startle and Subjective Experience: Comparing Flexion, Neutral Upright Posture, and Extension of Spine
10.1371/journal.pone.0106402,2014-08-27,Examining the Prey Mass of Terrestrial and Aquatic Carnivorous Mammals: Minimum, Maximum and Range
10.1371/journal.pone.0102800,2014-07-17,Fearfulness Affects Quail Maternal Care and Subsequent Offspring Development
10.1371/journal.pone.0107910,2014-09-23,Getting the Picture: Iconicity Does Not Affect Representation-Referent Confusion
10.1371/journal.pone.0102996,2014-07-23,The Effects of Urban Warming on Herbivore Abundance and Street Tree Condition
10.1371/journal.pone.0107568,2014-09-26,Habitat and Forage Associations of a Naturally Colonising Insect Pollinator, the Tree Bumblebee Bombus hypnorum
10.1371/journal.pone.0085256,2014-01-08,Online Respondent-Driven Sampling for Studying Contact Patterns Relevant for the Spread of Close-Contact Pathogens: A Pilot Study in Thailand
10.1371/journal.pone.0103002,2014-08-11,Valuation, Categories and Attributes
10.1371/journal.pone.0065851,2013-06-18,The Predictive Nature of Pseudoneglect for Visual Neglect: Evidence from Parietal Theta Burst Stimulation
10.1371/journal.pone.0104582,2014-08-07,Phantom Acupuncture: Dissociating Somatosensory and Cognitive/Affective Components of Acupuncture Stimulation with a Novel Form of Placebo Acupuncture
10.1371/journal.pone.0104448,2014-08-11,Somatostatin Analogues for Receptor Targeted Photodynamic Therapy
10.1371/journal.pone.0104247,2014-08-06,Ethanol Suppresses PGC-1α Expression by Interfering with the cAMP-CREB Pathway in Neuronal Cells
10.1371/journal.pone.0099641,2014-06-16,Understanding Cultivar-Specificity and Soil Determinants of the Cannabis Microbiome
10.1371/journal.pone.0071293,2013-09-23,A Latent Parameter Node-Centric Model for Spatial Networks
10.1371/journal.pone.0087176,2014-02-03,Thresholds of Auditory-Motor Coupling Measured with a Simple Task in Musicians and Non-Musicians: Was the Sound Simultaneous to the Key Press?
10.1371/journal.pone.0105536,2014-08-20,Distribution and Determinants of Non Communicable Diseases among Elderly Uyghur Ethnic Group in Xinjiang, China
10.1371/journal.pcbi.1003748,2014-08-07,Large Scale Characterization of the LC13 TCR and HLA-B8 Structural Landscape in Reaction to 172 Altered Peptide Ligands: A Molecular Dynamics Simulation Study
10.1371/journal.pone.0105516,2014-08-21,Association of CVD Candidate Gene Polymorphisms with Ischemic Stroke and Cerebral Hemorrhage in Chinese Individuals
10.1371/journal.pone.0105762,2014-08-22,Distribution of Non-AT1, Non-AT2 Binding of 125I-Sarcosine1, Isoleucine8 Angiotensin II in Neurolysin Knockout Mouse Brains
10.1371/journal.pone.0085748,2014-01-22,Test-Retest Reliability of the 40 Hz EEG Auditory Steady-State Response
10.1371/journal.pone.0108289,2014-09-22,Glioma Cells with the IDH1 Mutation Modulate Metabolic Fractional Flux through Pyruvate Carboxylase
10.1371/journal.pone.0108422,2014-09-22,Errors Affect Hypothetical Intertemporal Food Choice in Women
10.1371/journal.pone.0103337,2014-07-30,Perinatal Exposure of Mice to the Pesticide DDT Impairs Energy Expenditure and Metabolism in Adult Female Offspring
10.1371/journal.pone.0076375,2013-10-08,The Impact of Helicobacter pylori Infection on the Gastric Microbiota of the Rhesus Macaque
10.1371/journal.pone.0091529,2014-03-13,Intraspecific Variation in Physiological Condition of Reef-Building Corals Associated with Differential Levels of Chronic Disturbance
10.1371/journal.pone.0064133,2013-05-22,Home Life: Factors Structuring the Bacterial Diversity Found within and between Homes
10.1371/journal.pone.0107445,2014-09-11,Protein Aggregation in E. coli : Short Term and Long Term Effects of Nutrient Density
10.1371/journal.pone.0107087,2014-09-11,Adaptive Imaging Cytometry to Estimate Parameters of Gene Networks Models in Systems and Synthetic Biology
10.1371/journal.pone.0097440,2014-05-12,Quantitative Measurement of Brightness from Living Cells in the Presence of Photodepletion
10.1371/journal.pone.0106381,2014-09-05,Diagnostic Accuracy of Computer-Aided Detection of Pulmonary Tuberculosis in Chest Radiographs: A Validation Study from Sub-Saharan Africa
10.1371/journal.pone.0106264,2014-08-29,Impact of Non-Native Terrestrial Mammals on the Structure of the Terrestrial Mammal Food Web of Newfoundland, Canada
10.1371/journal.pone.0094056,2014-05-02,Folding Wings like a Cockroach: A Review of Transverse Wing Folding Ensign Wasps (Hymenoptera: Evaniidae: Afrevania and Trissevania)
10.1371/journal.pone.0092384,2014-03-24,Isotopes and Trace Elements as Natal Origin Markers of Helicoverpa armigera – An Experimental Model for Biosecurity Pests
10.1371/journal.pone.0104719,2014-08-12,Frequent Words Do Not Break Continuous Flash Suppression Differently from Infrequent or Nonexistent Words: Implications for Semantic Processing of Words in the Absence of Awareness
10.1371/journal.pone.0103817,2014-08-13,Multiplexing Spheroid Volume, Resazurin and Acid Phosphatase Viability Assays for High-Throughput Screening of Tumour Spheroids and Stem Cell Neurospheres
10.1371/journal.pone.0063730,2013-06-20,Insights into an Original Pocket-Ligand Pair Classification: A Promising Tool for Ligand Profile Prediction
10.1371/journal.pone.0108700,2014-10-02,Selection Based on Indirect Genetic Effects for Growth, Environmental Enrichment and Coping Style Affect the Immune Status of Pigs
10.1371/journal.pone.0100346,2014-06-27,Transient Cholesterol Effects on Nicotinic Acetylcholine Receptor Cell-Surface Mobility
10.1371/journal.pone.0108025,2014-09-19,High Content Analysis Provides Mechanistic Insights on the Pathways of Toxicity Induced by Amine-Modified Polystyrene Nanoparticles
10.1371/journal.pcbi.1003828,2014-09-11,Determining Individual Variation in Growth and Its Implication for Life-History and Population Processes Using the Empirical Bayes Method
10.1371/journal.pcbi.1003827,2014-09-04,A Peptide-Based Method for 13C Metabolic Flux Analysis in Microbial Communities
10.1371/journal.pone.0106159,2014-08-29,The Development of Diet-Induced Obesity and Glucose Intolerance in C57Bl/6 Mice on a High-Fat Diet Consists of Distinct Phases
10.1371/journal.pone.0067460,2013-07-23,LabTrove: A Lightweight, Web Based, Laboratory “Blog” as a Route towards a Marked Up Record of Work in a Bioscience Research Laboratory
10.1371/journal.pcbi.1003399,2014-01-02,Environmental Influence on the Evolution of Morphological Complexity in Machines
10.1371/journal.pone.0099837,2014-06-18,Neural Extrapolation of Motion for a Ball Rolling Down an Inclined Plane
10.1371/journal.pone.0104489,2014-08-07,The Crowded Sea: Incorporating Multiple Marine Activities in Conservation Plans Can Significantly Alter Spatial Priorities
10.1371/journal.pone.0092804,2014-03-26,Controlling Social Stress in Virtual Reality Environments
10.1371/journal.pone.0100350,2014-06-23,Enhanced Awareness Followed Reversible Inhibition of Human Visual Cortex: A Combined TMS, MRS and MEG Study
